country,pl,plf,reg,ts,user
IN,4,Android,1585999493389,1586059219760,25400765prod-in
IN,3,Android,1586049372243,1586049372249,25416417prod-in
PL,19,iOS,1584993693742,1586065709354,28691371prod-eu
IT,10,Android,1585025563614,1586044910192,28696222prod-eu
RU,8,Android,1585468439337,1586055427582,28853506prod-eu
UZ,3,Android,1585909757173,1586054070540,28989470prod-eu
RU,3,Android,1586112031715,1586112031747,29049048prod-eu
CN,33,Android,1517923990223,1586047543837,2921129prod-as
CN,3,Android,1553358986746,1586062498457,6635925prod-as
CN,33,iOS,1580558424348,1586045952809,9730927prod-as
CN,24,iOS,1582212877312,1586044827488,9923691prod-as
CN,15,iOS,1585458270348,1586048826416,10242049prod-as
TH,3,Android,1585922586054,1586055505579,10286165prod-as
US,5,Android,1585991618126,1586049822797,10306478prod-as
CN,1,Android,1586044474870,1586101200100,10320058prod-as
CN,3,iOS,1586047719241,1586047719264,10320686prod-as
CO,11,Android,1570187833330,1586045309247,13273630prod-us
US,31,iOS,1582044888594,1586044834411,15684876prod-us
IL,16,Samsung,1556962298640,1586064751927,19542801prod-eu
IT,6,Android,1557854227180,1586081716513,19908417prod-eu
IN,4,Android,1585245374526,1586073228694,25112827prod-in
ID,4,Android,1585814581646,1586047215503,25331708prod-in
IN,3,Android,1585977626222,1586079493315,25389966prod-in
DE,26,Android,1575756964983,1586044985016,25687575prod-eu
CN,33,iOS,1517034495848,1586045162625,2626924prod-as
RU,15,Android,1583527489499,1586044886254,28248802prod-eu
UZ,13,Android,1584201811404,1586065139613,28448701prod-eu
IR,2,Android,1586029228264,1586074316809,29026715prod-eu
RU,1,iOS,1586081521337,1586081521361,29037118prod-eu
US,30,Android,1583795656700,1586045187554,10067870prod-as
CN,3,iOS,1585970697987,1586047046159,10295936prod-as
CN,3,iOS,1586047217814,1586047217835,10320581prod-as
PH,13,Android,1550749738580,1586062808207,12030979prod-in
VN,8,Android,1552402038549,1586045532909,12256292prod-in
BR,7,Samsung,1584503407962,1586045664208,16065996prod-us
MX,7,iOS,1584581193214,1586050755204,16080050prod-us
UNKNOWN,4,Android,1585587660384,1586082890514,16307174prod-us
DE,20,Android,1511309827133,1586044838386,1634189prod-eu
BR,3,Android,1585982340609,1586051196612,16384304prod-us
US,4,Android,1586029046483,1586062645069,16390629prod-us
VN,30,iOS,1564068849062,1586047839486,17296283prod-in
IN,33,Android,1565801484088,1586063997275,18145695prod-in
IN,3,iOS,1574009323395,1586060819629,21219690prod-in
UZ,30,Android,1569743385975,1586056030379,23786303prod-eu
IN,4,Android,1584509995089,1586058598690,24819585prod-in
ID,3,Android,1585966499564,1586049743946,25385362prod-in
RU,33,Android,1575022973856,1586054061600,25416205prod-eu
HU,9,Android,1584907353271,1586069227461,28666991prod-eu
UZ,4,Android,1585158703605,1586077191471,28745452prod-eu
IR,6,Android,1585386395522,1586072993718,28824127prod-eu
KW,4,Android,1585895895800,1586054580005,28985144prod-eu
CN,33,Android,1548932906695,1586051535353,6257866prod-as
AU,33,iOS,1549534902292,1586050232419,9085569prod-us
CN,33,iOS,1576377917111,1586044941741,9285022prod-as
